name,slug,parent_company,registered_company,licence_issuer,regulator,jurisdiction,ontario_launch_year,min_age,currency,payment_methods,withdrawal_speed,min_deposit,min_withdrawal,support_channels,games_count,primary_game_provider,has_sportsbook,loyalty_program,mobile_experience,casinogpt_review_url,last_updated
888casino,888casino,Evoke plc (VHL Ontario Limited),VHL Ontario Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"iDebit; InstaDebit; Interac; Mastercard; Neteller; Skrill; Visa",1-3 business days,$10,,"24/7 live chat, email","1,200+",Multiple providers,true,888 VIP Program,Mobile-optimized browser + apps,https://casinogpt.ai/casinos/ontario/888casino,2026-03-19
bet365,bet365,Hillside (International Sports) ENC,Hillside (International Sports) ENC,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Apple Pay; iDebit; InstaDebit; Interac; Mastercard; PaysafeCard; Visa",1-4 hours (Interac),$10,,"24/7 live chat, email","2,000+",Multiple providers,true,bet365 Loyalty Program,Dedicated iOS and Android apps,https://casinogpt.ai/casinos/ontario/bet365,2026-03-19
Bet99,bet99,1000007698 Ontario Ltd,1000007698 Ontario Ltd,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"InstaDebit; Interac; Mastercard; MuchBetter; PayPal; Visa",1-3 business days,$10,,"24/7 live chat, email","3,000+",Multiple providers,true,Bet99 Rewards,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/bet99,2026-03-19
Betano,betano,Kaizen Gaming Canada Inc.,Kaizen Gaming Canada Inc.,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Apple Pay; Google Pay; Interac; Mastercard; PayPal; Visa",Under 30 minutes (Interac),$5,,"24/7 live chat, email","2,500+",Multiple providers,true,Betano Rewards,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/betano,2026-03-19
BetMGM,betmgm-ontario,BetMGM Canada Limited Partnership,BetMGM Canada Inc.,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; Visa",1-5 business days,$10,$20,"Live Chat, Email","1,500+","Multi-provider (Evolution, NetEnt, Red Tiger, IGT)",true,M life VIP Program,iOS & Android app + browser,https://casinogpt.ai/casinos/ontario/betmgm-ontario,2026-03-11
BetRivers,betrivers,"Rush Street Interactive Canada, ULC","Rush Street Interactive Canada, ULC",Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Interac; Mastercard; PayPal; Trustly; Visa",1-3 business days,$10,,"24/7 live chat, email",700+,Multiple providers,true,iRush Rewards,"Dedicated apps (4.7 iOS, 4.6 Android)",https://casinogpt.ai/casinos/ontario/betrivers,2026-03-19
Betsafe,betsafe,GWN Limited (Betsson Group),GWN Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Apple Pay; Google Pay; Interac; Mastercard; MuchBetter; Neteller; PayPal; PaysafeCard; Skrill; Visa",1-3 business days,$10,,"24/7 live chat, email","1,000+",Multiple providers,true,Betsafe Rewards,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/betsafe,2026-03-19
Betty,betty,"Betty Gaming CA, Ltd","Betty Gaming CA, Ltd",Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Interac; Mastercard; Visa",Instant (Interac),$1,,"Live chat, email","2,800+",Multi-provider,false,Betty rewards,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/betty,2026-04-07
BetVictor,betvictor,BV (Canada) Limited,BV (Canada) Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",,19,CAD,"Apple Pay; Google Pay; iDebit; InstaDebit; Interac; Mastercard; Neteller; Visa",1-3 business days,$10,,"24/7 live chat, email","1,500+",Multiple providers,true,BetVictor Loyalty,Mobile-optimized browser,https://casinogpt.ai/casinos/ontario/betvictor,2026-03-19
Betway,betway,Betway Limited,Cadway Limited,Alcohol and Gaming Commission of Ontario (AGCO),AGCO / iGaming Ontario,"Ontario, Canada",2022,19,CAD,"Interac; Mastercard; Visa",1-3 business days,$10,$10,"24/7 Live Chat, Email",800+,"Multi-provider (Microgaming, NetEnt, Evolution)",true,Betway Plus,iOS & Android dedicated app,https://casinogpt.ai/casinos/ontario/betway,2026-03-11
